Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     89.01     0.00   399996     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  0.00     89.01     0.00   399996     0.00     0.00  operator new(unsigned long, void*)
  0.00     89.01     0.00      228     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00     89.01     0.00      152     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00     89.01     0.00      152     0.00     0.00  std::move_iterator<unsigned long*>::base() const
  0.00     89.01     0.00      152     0.00     0.00  std::move_iterator<unsigned long*>::move_iterator(unsigned long*)
  0.00     89.01     0.00      152     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<unsigned long*>(std::move_iterator<unsigned long*>)
  0.00     89.01     0.00      152     0.00     0.00  unsigned long* std::__miter_base<unsigned long*>(unsigned long*)
  0.00     89.01     0.00      152     0.00     0.00  std::move_iterator<unsigned long*> std::__make_move_if_noexcept_iterator<unsigned long, std::move_iterator<unsigned long*> >(unsigned long*)
  0.00     89.01     0.00      116     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00     89.01     0.00      114     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00     89.01     0.00       76     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00     89.01     0.00       76     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::max_size() const
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<unsigned long>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00     89.01     0.00       76     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::max_size(std::allocator<unsigned long> const&)
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned long*>, unsigned long*>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*)
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::__copy_move_a<true, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::__copy_move_a2<true, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::uninitialized_copy<std::move_iterator<unsigned long*>, unsigned long*>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*)
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::__uninitialized_move_if_noexcept_a<unsigned long*, unsigned long*, std::allocator<unsigned long> >(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00     89.01     0.00       76     0.00     0.00  unsigned long* std::copy<std::move_iterator<unsigned long*>, unsigned long*>(std::move_iterator<unsigned long*>, std::move_iterator<unsigned long*>, unsigned long*)
  0.00     89.01     0.00       40     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
